match_id,season,match_date,team,opponent,player_name,player_name_key,person_id,role,batting_position,training_eligible,training_exclusion_reasons,historical_matches_used,historical_batting_innings,historical_bowling_innings,player_batting_runs_before_match,player_batting_balls_before_match,player_batting_average_before_match,player_batting_strike_rate_before_match,player_boundary_rate_before_match,player_six_rate_before_match,player_dismissal_rate_before_match,player_recent_runs_last_5,player_recent_batting_strike_rate_last_5,player_bowling_balls_before_match,player_bowling_overs_before_match,player_wickets_before_match,player_runs_conceded_before_match,player_bowling_average_before_match,player_bowling_strike_rate_before_match,player_bowling_economy_before_match,player_dot_ball_rate_before_match,player_death_bowling_overs_before_match,player_recent_wickets_last_5,player_recent_bowling_economy_last_5,player_all_rounder_score_before_match
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,K Goel,k goel,a1f1829d,all_rounder,1,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,PP Chawla,pp chawla,98ae73b1,bowler,0,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,WA Mota,wa mota,3dba85c2,bowler,0,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,KC Sangakkara,kc sangakkara,6b71e6cf,batter,3,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,Yuvraj Singh,yuvraj singh,1c914163,batter,4,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Punjab Kings,Chennai Super Kings,SM Katich,sm katich,fdedb37c,batter,5,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Chennai Super Kings,Punjab Kings,PA Patel,pa patel,b5da6c24,batter,1,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Chennai Super Kings,Punjab Kings,ML Hayden,ml hayden,d8699ab7,batter,2,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Chennai Super Kings,Punjab Kings,MEK Hussey,mek hussey,48fd7349,batter,3,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335983,2008,2008-04-19,Chennai Super Kings,Punjab Kings,MS Dhoni,ms dhoni,4a8a2e3b,batter,4,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
