player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
A Ashish Reddy,a ashish reddy,1c2a64cd,cricketdata::player_meta,389605,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Badoni,a badoni,872b03f7,cricketdata::player_meta,1151270,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
A Bengeri,a bengeri,c109497d,cricketdata::player_meta,527897,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Chandila,a chandila,99b202b3,cricketdata::player_meta,27783,Right hand Bat,Right arm Offbreak,Allrounder,Allrounder,right,Right arm Offbreak,spin,all_rounder,false,true,true,false,false,cricsheet_id
A Chopra,a chopra,e249fdaa,cricketdata::player_meta,27639,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Batter,right,"Right arm Medium, Right arm Offbreak",spin,batter,false,true,true,false,false,cricsheet_id
A Choudhary,a choudhary,18e6906e,cricketdata::player_meta,527299,Right hand Bat,Left arm Medium,Bowler,Bowler,right,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Dananjaya,a dananjaya,5b16a806,cricketdata::player_meta,574178,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,Allrounder,left,"Right arm Offbreak, Legbreak",spin,all_rounder,false,true,true,false,false,cricsheet_id
A Deshmukh,a deshmukh,6fda55cc,cricketdata::player_meta,412593,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Flintoff,a flintoff,ddc0828d,cricketdata::player_meta,12856,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Kamboj,a kamboj,fcc21ace,cricketdata::player_meta,1175428,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Kripal Singh,a kripal singh,8f559207,cricketdata::player_meta,30198,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Kumble,a kumble,0c2730df,cricketdata::player_meta,30176,Right hand Bat,Legbreak Googly,Bowler,Bowler,right,Legbreak Googly,spin,bowler,false,true,true,false,false,cricsheet_id
A Manohar,a manohar,0890552f,cricketdata::player_meta,778963,Right hand Bat,Legbreak Googly,Batting Allrounder,Batting Allrounder,right,Legbreak Googly,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
A Mishra,a mishra,6b19d823,cricketdata::player_meta,31107,Right hand Bat,Legbreak,Bowler,Bowler,right,Legbreak,spin,bowler,false,true,true,false,false,cricsheet_id
A Mithun,a mithun,66cf56a5,cricketdata::player_meta,310958,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Mukund,a mukund,6165bca6,cricketdata::player_meta,302582,Left hand Bat,Legbreak Googly,Top order Batter,Top order Batter,left,Legbreak Googly,spin,batter,false,true,true,false,false,cricsheet_id
A Nand Kishore,a nand kishore,84424f4f,cricketdata::player_meta,31917,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Nehra,a nehra,96fd40ae,cricketdata::player_meta,31820,Right hand Bat,Left arm Medium fast,Bowler,Bowler,right,Left arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Nel,a nel,2503e881,cricketdata::player_meta,46569,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Nortje,a nortje,acdc62f5,cricketdata::player_meta,481979,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Raghuvanshi,a raghuvanshi,d7017798,cricketdata::player_meta,1292495,Right-hand bat,Slow left-arm orthodox,,,right,Slow left-arm orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
A Singh,a singh,5b040b81,cricketdata::player_meta,26789,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Symonds,a symonds,bd77eb62,cricketdata::player_meta,7702,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,Allrounder,right,"Right arm Medium, Right arm Offbreak",spin,all_rounder,false,true,true,false,false,cricsheet_id
A Tomar,a tomar,aa5d8c9e,cricketdata::player_meta,1081183,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
A Totre,a totre,b1d7d7bc,cricketdata::player_meta,961323,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Uniyal,a uniyal,fdcb08c2,cricketdata::player_meta,35586,Left hand Bat,Left arm Medium,,,left,Left arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Zampa,a zampa,14f96089,cricketdata::player_meta,379504,Right hand Bat,Legbreak Googly,Bowler,Bowler,right,Legbreak Googly,spin,bowler,false,true,true,false,false,cricsheet_id
AA Bilakhia,aa bilakhia,bff458c6,cricketdata::player_meta,26946,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
AA Chavan,aa chavan,29d72eb2,cricketdata::player_meta,337913,Left hand Bat,Slow Left arm Orthodox,Batter,Batter,left,Slow Left arm Orthodox,spin,batter,false,true,true,false,false,cricsheet_id
AA Jhunjhunwala,aa jhunjhunwala,2815fe50,cricketdata::player_meta,29702,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
AA Kazi,aa kazi,16605a1b,cricketdata::player_meta,422106,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
AA Kulkarni,aa kulkarni,2d140b79,cricketdata::player_meta,1403153,Right-hand bat,Right-arm medium,,,right,Right-arm medium,pace,unknown,false,true,false,true,false,cricsheet_id
AA Noffke,aa noffke,b69e69ed,cricketdata::player_meta,6938,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
AB Agarkar,ab agarkar,fa463154,cricketdata::player_meta,26184,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
AB Barath,ab barath,d3a3e82d,cricketdata::player_meta,274926,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
AB de Villiers,ab de villiers,c4487b84,cricketdata::player_meta,44936,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Wicketkeeper Batter,right,Right arm Medium,pace,keeper_batter,true,true,false,true,false,cricsheet_id
AB Dinda,ab dinda,66b30f71,cricketdata::player_meta,227712,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AB McDonald,ab mcdonald,16043342,cricketdata::player_meta,6553,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
Abdul Basith,abdul basith,cc777ffa,cricketdata::player_meta,1287067,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
Abdul Samad,abdul samad,8e514b4c,cricketdata::player_meta,1175485,Right hand Bat,Legbreak,Batter,Batter,right,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
Abdur Razzak,abdur razzak,888e32bf,cricketdata::player_meta,56283,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
Abhijit Bhattacharya,abhijit bhattacharya,59ec9638,cricketdata::player_meta,733337,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
Abhishek Sharma,abhishek sharma,f29185a1,cricketdata::player_meta,1070183,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,left,Slow Left arm Orthodox,spin,all_rounder,false,true,true,false,false,cricsheet_id
Abishek Porel,abishek porel,ad3b6e95,cricketdata::player_meta,1277545,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,left,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
AC Blizzard,ac blizzard,1efb8a28,cricketdata::player_meta,4498,Left hand Bat,Left arm Medium,Batter,Batter,left,Left arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
AC Gilchrist,ac gilchrist,2b6e6dec,cricketdata::player_meta,5390,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Wicketkeeper Batter,left,Right arm Offbreak,spin,keeper_batter,true,true,true,false,false,cricsheet_id
AC Thomas,ac thomas,b552a935,cricketdata::player_meta,47569,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
AC Voges,ac voges,864c199e,cricketdata::player_meta,8119,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,right,Slow Left arm Orthodox,spin,batter,false,true,true,false,false,cricsheet_id
AD Hales,ad hales,92aeac25,cricketdata::player_meta,249866,Right hand Bat,Right arm Medium,Opening Batter,Opening Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
AD Mascarenhas,ad mascarenhas,3edb58fc,cricketdata::player_meta,16932,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
AD Mathews,ad mathews,896d78ad,cricketdata::player_meta,49764,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
AD Nath,ad nath,f10e94c4,cricketdata::player_meta,500360,Right hand Bat,Right arm Medium fast,Middle order Batter,Middle order Batter,right,Right arm Medium fast,pace,batter,false,true,false,true,false,cricsheet_id
AD Russell,ad russell,bbd41817,cricketdata::player_meta,276298,Right hand Bat,Right arm Fast,Allrounder,Allrounder,right,Right arm Fast,pace,all_rounder,false,true,false,true,false,cricsheet_id
AF Milne,af milne,350bb1b1,cricketdata::player_meta,450860,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
AG Murtaza,ag murtaza,ef5da05c,cricketdata::player_meta,26490,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
AG Paunikar,ag paunikar,3a02626a,cricketdata::player_meta,324444,Right hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,right,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
AG Wharf,ag wharf,2e0fcc58,cricketdata::player_meta,22380,Right hand Bat,Right arm Medium fast,,,right,Right arm Medium fast,pace,unknown,false,true,false,true,false,cricsheet_id
AJ Finch,aj finch,b8d490fd,cricketdata::player_meta,5334,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,right,Slow Left arm Orthodox,spin,batter,false,true,true,false,false,cricsheet_id
AJ Hosein,aj hosein,4d7f517e,cricketdata::player_meta,530812,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
AJ Pycroft,aj pycroft,685d3f80,cricketdata::player_meta,55700,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
AJ Turner,aj turner,ff1e12a0,cricketdata::player_meta,500268,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
AJ Tye,aj tye,7c7d63a2,cricketdata::player_meta,459508,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AK Argal,ak argal,0ee78cf3,cricketdata::player_meta,26432,Right-hand bat,Right-arm medium,,,right,Right-arm medium,pace,unknown,false,true,false,true,false,cricsheet_id
AK Chaudhary,ak chaudhary,fdcc6236,cricketdata::player_meta,265839,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
AK Markram,ak markram,6a26221c,cricketdata::player_meta,600498,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
AK Mitra,ak mitra,4e11e004,cricketdata::player_meta,31320,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
Akash Deep,akash deep,0a67aec0,cricketdata::player_meta,1176959,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Bowling Allrounder,right,Right arm Fast medium,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
Akash Madhwal,akash madhwal,4bd09374,cricketdata::player_meta,1206039,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
Akash Singh,akash singh,b483905d,cricketdata::player_meta,1175458,Right hand Bat,Left arm Medium fast,Bowler,Bowler,right,Left arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AL Hill,al hill,4165ced0,cricketdata::player_meta,37274,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
AL Menaria,al menaria,8291f939,cricketdata::player_meta,371150,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,left,Slow Left arm Orthodox,spin,all_rounder,false,true,true,false,false,cricsheet_id
Aleem Dar,aleem dar,f02778d1,cricketdata::player_meta,39157,Right hand Bat,Legbreak,,,right,Legbreak,spin,unknown,false,true,true,false,false,cricsheet_id
AM Ghazanfar,am ghazanfar,9ca68676,cricketdata::player_meta,1326798,Right-hand bat,Right-arm offbreak,,,right,Right-arm offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
AM Nayar,am nayar,a45a5e8d,cricketdata::player_meta,32091,Left hand Bat,Right arm Medium,Allrounder,Allrounder,left,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
AM Rahane,am rahane,29e95537,cricketdata::player_meta,277916,Right hand Bat,Right arm Medium,Top order Batter,Top order Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
AM Saheba,am saheba,883e3818,cricketdata::player_meta,34544,Right hand Bat,,,,right,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
AM Salvi,am salvi,260fd380,cricketdata::player_meta,34264,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Aman Hakim Khan,aman hakim khan,378daa89,cricketdata::player_meta,1254269,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Amit Sharma,amit sharma,7ea3e0cc,cricketdata::player_meta,34228,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
AN Ahmed,an ahmed,2af1b6d2,cricketdata::player_meta,228430,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AN Ghosh,an ghosh,7023d182,cricketdata::player_meta,220435,Right hand Bat,Right arm Medium,Batter,Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
Anand Rajan,anand rajan,d2340a43,cricketdata::player_meta,26797,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Aniket Verma,aniket verma,a3b0600d,cricketdata::player_meta,1409976,Right-hand bat,Right-arm medium-fast,,,right,Right-arm medium-fast,pace,unknown,false,true,false,true,false,cricsheet_id
Anirudh Singh,anirudh singh,7bb62642,cricketdata::player_meta,26252,Left hand Bat,Right arm Medium,,,left,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
Anish Sahasrabudhe,anish sahasrabudhe,2892df67,cricketdata::player_meta,428190,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
Ankit Sharma,ankit sharma,24d94623,cricketdata::player_meta,422992,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
Ankit Soni,ankit soni,f18ba07f,cricketdata::player_meta,1083128,Right hand Bat,Legbreak,Allrounder,Allrounder,right,Legbreak,spin,all_rounder,false,true,true,false,false,cricsheet_id
Anmolpreet Singh,anmolpreet singh,1399b39c,cricketdata::player_meta,851261,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
Anuj Rawat,anuj rawat,c8f5f961,cricketdata::player_meta,1123073,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,left,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
Anureet Singh,anureet singh,69be866a,cricketdata::player_meta,376324,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
AP Dole,ap dole,dbc50253,cricketdata::player_meta,236694,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AP Majumdar,ap majumdar,f4cb4f53,cricketdata::player_meta,31750,Right hand Bat,Legbreak Googly,,,right,Legbreak Googly,spin,unknown,false,true,true,false,false,cricsheet_id
AP Tare,ap tare,855a210c,cricketdata::player_meta,333904,Right hand Bat,,Wicketkeeper,Wicketkeeper,right,unknown,unknown,keeper,true,false,false,false,false,cricsheet_id
AR Bawne,ar bawne,afe3355a,cricketdata::player_meta,327123,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
AR Patel,ar patel,2e171977,cricketdata::player_meta,554691,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Bowling Allrounder,left,Slow Left arm Orthodox,spin,bowling_all_rounder,false,true,true,false,false,cricsheet_id
Arjun Tendulkar,arjun tendulkar,44aac2f0,cricketdata::player_meta,1148776,Left hand Bat,Left arm Medium fast,Bowler,Bowler,left,Left arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
Arshad Khan,arshad khan,12314277,cricketdata::player_meta,1244751,Left hand Bat,Left arm Medium,Bowler,Bowler,left,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Arshad Khan (2),arshad khan 2,12314277,cricketdata::player_meta,1244751,Left hand Bat,Left arm Medium,Bowler,Bowler,left,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Arshdeep Singh,arshdeep singh,244048f6,cricketdata::player_meta,1125976,Left hand Bat,Left arm Medium fast,Bowler,Bowler,left,Left arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
AS Joseph,as joseph,b0946605,cricketdata::player_meta,670031,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
AS Pathania,as pathania,bf6c251d,cricketdata::player_meta,32272,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
AS Rajpoot,as rajpoot,db31895a,cricketdata::player_meta,591650,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
AS Raut,as raut,c69a7b5c,cricketdata::player_meta,230593,Right hand Bat,Legbreak Googly,Allrounder,Allrounder,right,Legbreak Googly,spin,all_rounder,false,true,true,false,false,cricsheet_id
AS Roy,as roy,e4cdf230,cricketdata::player_meta,1079839,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,left,Slow Left arm Orthodox,spin,all_rounder,false,true,true,false,false,cricsheet_id
AS Yadav,as yadav,b9be6507,cricketdata::player_meta,36110,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
Asad Rauf,asad rauf,861606b7,cricketdata::player_meta,39219,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
Ashutosh Sharma,ashutosh sharma,84d9c311,cricketdata::player_meta,1131978,Right hand Bat,,,,right,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
Ashwani Kumar,ashwani kumar,d45c29b1,cricketdata::player_meta,1209126,Left hand Bat,Left arm Medium,,,left,Left arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
AT Carey,at carey,69d03465,cricketdata::player_meta,326434,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,left,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
AT Holdstock,at holdstock,6fa3258c,cricketdata::player_meta,45448,Right hand Bat,Right arm Fast medium,,,right,Right arm Fast medium,pace,unknown,false,true,false,true,false,cricsheet_id
AT Rayudu,at rayudu,70d205c9,cricketdata::player_meta,33141,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
Atharva Taide,atharva taide,1ac746c8,cricketdata::player_meta,1125958,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,Batting Allrounder,left,Slow Left arm Orthodox,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
AU Rashid,au rashid,249d60c9,cricketdata::player_meta,244497,Right hand Bat,Legbreak,Bowler,Bowler,right,Legbreak,spin,bowler,false,true,true,false,false,cricsheet_id
AUK Pathan,auk pathan,3ae3f034,cricketdata::player_meta,430401,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Auqib Nabi,auqib nabi,7c3c0337,cricketdata::player_meta,1159732,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
AV Jayaprakash,av jayaprakash,bde6e9ef,cricketdata::player_meta,29691,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
AV Wankhade,av wankhade,5708d0b6,cricketdata::player_meta,505773,Right hand Bat,Right arm Medium,Middle order Batter,Middle order Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
Avesh Khan,avesh khan,eef2536f,cricketdata::player_meta,694211,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
AY Dandekar,ay dandekar,2efc430e,cricketdata::player_meta,27986,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
Azhar Mahmood,azhar mahmood,9a158001,cricketdata::player_meta,39024,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Bowling Allrounder,right,Right arm Fast medium,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
Azmatullah Omarzai,azmatullah omarzai,8f6dd463,cricketdata::player_meta,819429,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder,right,Right arm Medium fast,pace,all_rounder,false,true,false,true,false,cricsheet_id
B Akhil,b akhil,af7dadf7,cricketdata::player_meta,26206,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
B Aparajith,b aparajith,5b627626,cricketdata::player_meta,477071,Right hand Bat,Right arm Offbreak,Batting Allrounder,Batting Allrounder,right,Right arm Offbreak,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
B Chipli,b chipli,5451a2c1,cricketdata::player_meta,27685,Right hand Bat,Right arm Medium,Batter,Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
B Geeves,b geeves,50758325,cricketdata::player_meta,5472,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
B Indrajith,b indrajith,ff1e68fa,cricketdata::player_meta,477069,Right hand Bat,Legbreak Googly,Top order Batter,Top order Batter,right,Legbreak Googly,spin,batter,false,true,true,false,false,cricsheet_id
B Kumar,b kumar,2e81a32d,cricketdata::player_meta,326016,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
B Laughlin,b laughlin,b2a79f17,cricketdata::player_meta,315623,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
B Lee,b lee,dd09ff8e,cricketdata::player_meta,6278,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
B Muzarabani,b muzarabani,449f4e3c,cricketdata::player_meta,827051,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
B Sai Sudharsan,b sai sudharsan,d5130a30,cricketdata::player_meta,1151288,Left hand Bat,Legbreak,Top order Batter,Top order Batter,left,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
B Stanlake,b stanlake,6834d1f2,cricketdata::player_meta,533042,Left hand Bat,Right arm Fast,Bowler,Bowler,left,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
B Sumanth,b sumanth,f4f0fafd,cricketdata::player_meta,253798,Right hand Bat,Right arm Medium fast,Middle order Batter,Middle order Batter,right,Right arm Medium fast,pace,batter,false,true,false,true,false,cricsheet_id
B Vij,b vij,470050ff,cricketdata::player_meta,35796,Right hand Bat,Slow Left arm Orthodox,,,right,Slow Left arm Orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
BA Bhatt,ba bhatt,dc4686e6,cricketdata::player_meta,433410,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
BA Stokes,ba stokes,e087956b,cricketdata::player_meta,311158,Left hand Bat,Right arm Fast medium,Allrounder,Allrounder,left,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
Basil Thampi,basil thampi,871e9faf,cricketdata::player_meta,732291,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
BAW Mendis,baw mendis,ea0cdc12,cricketdata::player_meta,268739,Right hand Bat,Right arm Offbreak,Bowler,Bowler,right,Right arm Offbreak,spin,bowler,false,true,true,false,false,cricsheet_id
BB McCullum,bb mccullum,b8a55852,cricketdata::player_meta,37737,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,Wicketkeeper Batter,right,"Right arm Medium, Right arm Offbreak",spin,keeper_batter,true,true,true,false,false,cricsheet_id
BB Samantray,bb samantray,53f27a35,cricketdata::player_meta,430125,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
BB Sran,bb sran,d8b2f218,cricketdata::player_meta,537126,Left hand Bat,Left arm Medium,Bowler,Bowler,left,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
BCJ Cutting,bcj cutting,2e11c706,cricketdata::player_meta,230371,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
