player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
DS Kulkarni,ds kulkarni,d2a989fc,cricketdata::player_meta,277955,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
DS Lehmann,ds lehmann,53fe6ee4,cricketdata::player_meta,6285,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,left,Slow Left arm Orthodox,spin,batter,false,true,true,false,false,cricsheet_id
DS Manohar,ds manohar,b35f3ac8,cricketdata::player_meta,30900,Left hand Bat,Right arm Medium,,,left,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
DT Christian,dt christian,2a2e6343,cricketdata::player_meta,4864,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
DT Patil,dt patil,f48cf4da,cricketdata::player_meta,32389,Right hand Bat,,,,right,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
DW Steyn,dw steyn,8fd1a8f5,cricketdata::player_meta,47492,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
E Lewis,e lewis,0ebfb1ad,cricketdata::player_meta,431901,Left hand Bat,,Opening Batter,Opening Batter,left,unknown,unknown,batter,false,false,false,false,false,cricsheet_id
E Malinga,e malinga,5750bcb4,cricketdata::player_meta,1306214,Left-hand bat,Right-arm fast-medium,,,left,Right-arm fast-medium,pace,unknown,false,true,false,true,false,cricsheet_id
EC Hendrikse,ec hendrikse,3f2996c9,cricketdata::player_meta,45688,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
EJG Morgan,ejg morgan,d2a6c0e6,cricketdata::player_meta,24598,Left hand Bat,Right arm Medium,Middle order Batter,Middle order Batter,left,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
ER Dwivedi,er dwivedi,b274dbbd,cricketdata::player_meta,340841,Right hand Bat,,Wicketkeeper,Wicketkeeper,right,unknown,unknown,keeper,true,false,false,false,false,cricsheet_id
F Behardien,f behardien,dce2019b,cricketdata::player_meta,44410,Right hand Bat,Right arm Fast medium,Batting Allrounder,Batting Allrounder,right,Right arm Fast medium,pace,batting_all_rounder,false,true,false,true,false,cricsheet_id
F du Plessis,f du plessis,3355b542,cricketdata::player_meta,44828,Right hand Bat,Legbreak,Middle order Batter,Middle order Batter,right,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
F Gomes,f gomes,3134d083,cricketdata::player_meta,28845,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
FA Allen,fa allen,b52ffbbd,cricketdata::player_meta,670013,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Bowling Allrounder,right,Slow Left arm Orthodox,spin,bowling_all_rounder,false,true,true,false,false,cricsheet_id
Fazalhaq Farooqi,fazalhaq farooqi,e9c7f0d0,cricketdata::player_meta,974175,Right hand Bat,Left arm Fast medium,Bowler,Bowler,right,Left arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
FH Allen,fh allen,bf74b130,cricketdata::player_meta,959759,Right hand Bat,,Top order Batter,Top order Batter,right,unknown,unknown,batter,false,false,false,false,false,cricsheet_id
FH Edwards,fh edwards,a7c226e1,cricketdata::player_meta,51782,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
FM Engineer,fm engineer,6529ee42,cricketdata::player_meta,28624,Right hand Bat,Legbreak,Wicketkeeper Batter,Wicketkeeper Batter,right,Legbreak,spin,keeper_batter,true,true,true,false,false,cricsheet_id
FY Fazal,fy fazal,c15e2193,cricketdata::player_meta,28671,Left hand Bat,Right arm Medium,Opening Batter,Opening Batter,left,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
G Coetzee,g coetzee,3204c99f,cricketdata::player_meta,596010,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
G Gambhir,g gambhir,bb345e0b,cricketdata::player_meta,28763,Left hand Bat,Legbreak,Top order Batter,Top order Batter,left,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
GA Pratapkumar,ga pratapkumar,cf7c5778,cricketdata::player_meta,32299,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
Gagandeep Singh,gagandeep singh,890de8cb,cricketdata::player_meta,28758,Right hand Bat,Right arm Medium fast,,,right,Right arm Medium fast,pace,unknown,false,true,false,true,false,cricsheet_id
GAV Baxter,gav baxter,cb4b3ab0,cricketdata::player_meta,36337,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
GB Hogg,gb hogg,f708a0bc,cricketdata::player_meta,5681,Left hand Bat,Left arm Wrist spin,Allrounder,Allrounder,left,Left arm Wrist spin,spin,all_rounder,false,true,true,false,false,cricsheet_id
GC Smith,gc smith,72861603,cricketdata::player_meta,47270,Left hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,left,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
GC Viljoen,gc viljoen,a316d663,cricketdata::player_meta,375126,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
